AFFGEOID,GEOID,GEO.display-label,pop,margin
1400000US04013103208,4.0E+09,"Census Tract 1032.08, Maricopa County, Arizona",3936,369
1400000US04013103209,4.0E+09,"Census Tract 1032.09, Maricopa County, Arizona",5002,493
1400000US04013103210,4.0E+09,"Census Tract 1032.10, Maricopa County, Arizona",6773,646
1400000US04013103211,4.0E+09,"Census Tract 1032.11, Maricopa County, Arizona",4384,299
1400000US04013103212,4.0E+09,"Census Tract 1032.12, Maricopa County, Arizona",4289,340
1400000US04013103214,4.0E+09,"Census Tract 1032.14, Maricopa County, Arizona",3820,231
1400000US04013103215,4.0E+09,"Census Tract 1032.15, Maricopa County, Arizona",2784,240
1400000US04013103216,4.0E+09,"Census Tract 1032.16, Maricopa County, Arizona",5306,341
1400000US04013103217,4.0E+09,"Census Tract 1032.17, Maricopa County, Arizona",6567,701
1400000US04013103219,4.0E+09,"Census Tract 1032.19, Maricopa County, Arizona",2721,305
1400000US04013103220,4.0E+09,"Census Tract 1032.20, Maricopa County, Arizona",2932,278
1400000US04013103302,4.0E+09,"Census Tract 1033.02, Maricopa County, Arizona",7034,651
1400000US04013103303,4.0E+09,"Census Tract 1033.03, Maricopa County, Arizona",3747,359
1400000US04013103304,4.0E+09,"Census Tract 1033.04, Maricopa County, Arizona",5536,718
1400000US04013103305,4.0E+09,"Census Tract 1033.05, Maricopa County, Arizona",3061,418
1400000US04013103306,4.0E+09,"Census Tract 1033.06, Maricopa County, Arizona",3970,473
1400000US04013103400,4.0E+09,"Census Tract 1034, Maricopa County, Arizona",4789,365
1400000US04013103501,4.0E+09,"Census Tract 1035.01, Maricopa County, Arizona",3659,370
1400000US04013103502,4.0E+09,"Census Tract 1035.02, Maricopa County, Arizona",5914,690
1400000US04013103604,4.0E+09,"Census Tract 1036.04, Maricopa County, Arizona",3800,408
1400000US04013103605,4.0E+09,"Census Tract 1036.05, Maricopa County, Arizona",5828,370
1400000US04013103606,4.0E+09,"Census Tract 1036.06, Maricopa County, Arizona",4381,418
1400000US04013103607,4.0E+09,"Census Tract 1036.07, Maricopa County, Arizona",4919,504
